method,target,year,donors_used,n_models,rmse,runtime_sec
G_XGBoost,48,2018,"47,49,46,50,15,16,14",7,4.227785764204663,0.7547116279602051
G_XGBoost,49,2017,"50,51,48,17,18,16,19",7,5.436578996124619,0.7575900554656982
G_XGBoost,49,2018,"50,51,48,17,18,16,19",7,5.322550592173501,0.7585282325744629
G_XGBoost,50,2017,"49,51,48,17,18,19,20",7,2.8114615229436515,0.7473852634429932
G_XGBoost,50,2018,"49,51,48,17,18,19,20",7,2.856629218325839,0.7474346160888672
G_XGBoost,51,2017,"50,49,19,48,18,20,17",7,3.2597527733090557,0.7591173648834229
G_XGBoost,52,2017,"1,53,2,54,3,59,60",7,3.7682835887166917,1.1974222660064697
G_XGBoost,52,2018,"1,53,2,54,3,59,60",7,4.745733503088112,1.1596028804779053
G_XGBoost,53,2017,"54,52,55,1,59,58,60",7,6.09485793784789,0.964806079864502
G_XGBoost,54,2017,"53,55,58,52,59,56,57",7,4.540608495583985,0.8042101860046387
G_XGBoost,54,2018,"53,55,58,52,59,56,57",7,4.249199473802659,0.8023049831390381
G_XGBoost,55,2017,"54,56,58,53,57,59,52",7,3.85445235467708,0.8197274208068848
G_XGBoost,55,2018,"54,56,58,53,57,59,52",7,5.192571455955239,0.8185486793518066
G_XGBoost,56,2017,"57,55,58,54,62,63,61",7,4.121172728680819,0.8012874126434326
G_XGBoost,56,2018,"57,55,58,54,62,63,61",7,4.602560577194546,0.8019688129425049
G_XGBoost,57,2017,"56,58,55,54,59,53,60",7,3.0624058489114185,0.7944884300231934
G_XGBoost,57,2018,"56,58,55,54,59,53,60",7,3.501055395560476,0.7955451011657715
G_XGBoost,58,2017,"59,57,55,54,60,56,53",7,4.898293827644573,0.8389065265655518
G_XGBoost,58,2018,"59,57,55,54,60,56,53",7,4.115317442779788,0.8382019996643066
G_XGBoost,59,2017,"60,58,53,54,52,55,57",7,5.2741679528482726,0.8264362812042236
G_XGBoost,59,2018,"60,58,53,54,52,55,57",7,3.950081306834896,0.823307991027832
G_XGBoost,60,2017,"59,58,53,52,54,1,55",7,4.084230660895971,0.8279440402984619
G_XGBoost,60,2018,"59,58,53,52,54,1,55",7,4.581767083949508,0.827425479888916
G_XGBoost,61,2017,"62,66,65,63,64,56,55",7,2.959076801376681,0.8328332901000977
G_XGBoost,62,2017,"61,63,65,64,66,56,55",7,4.201529557962682,0.8039932250976562
G_XGBoost,62,2018,"61,63,65,64,66,56,55",7,3.083240755290486,0.8030974864959717
G_XGBoost,63,2017,"62,64,65,61,66,56,57",7,4.064928117516484,0.843684196472168
G_XGBoost,63,2018,"62,64,65,61,66,56,57",7,4.107186953820921,0.8421199321746826
G_XGBoost,64,2017,"65,63,66,62,61,56,55",7,3.8751492776162384,0.8427684307098389
G_XGBoost,64,2018,"65,63,66,62,61,56,55",7,5.198323415324936,0.8374042510986328
G_XGBoost,65,2017,"66,64,62,63,61,56,55",7,3.7909673831321022,0.8250312805175781
G_XGBoost,65,2018,"66,64,62,63,61,56,55",7,4.706061803154441,0.8207204341888428
G_XGBoost,66,2017,"65,64,62,61,63,56,55",7,3.827349413769435,0.8302590847015381
G_XGBoost,66,2018,"65,64,62,61,63,56,55",7,3.4754379999951337,0.8257474899291992
